title,description,category,risk,due_date,progress
各地區負責人確認,"高風險姓名",行政組,高風險,2026-03-12,25%
路線確認,"確認中：台北、台南、南屏、南台、宜蘭；已拿到：新竹、台中、嘉義；確認是走兩單，還是同一方向",行政組,中風險,2026-03-12,0%
路線路勘,"彰化下周永嚴老師；台北道場不走五分鋪",行政組,中風險,2026-03-20,0%
安排和尚,"製作表格協調和尚人選；請示保和尚其餘戒會開牌",行政組,低風險,2026-04-01,0%
各組名牌製作,"不用我們製作",行政組,進度正常,2026-03-30,0%
貴賓邀請卡製作,"不用我們製作",行政組,進度正常,2026-03-20,0%
行腳手冊,"內容包括：路線、工作注意事項、住宿、吃飯、點心、洗衣服（分開路線一和路線二）",行政組,,,
安排講習時間,"4月20日~4月26日，邀請男眾淨人參加",行政組,,,
車牌舉牌製作,"每套5個，共兩套總計10個；申請舉牌；確認舉牌內容",行政組,,,
網頁,"待確認內容",行政組,,,
貴賓出席名單,,行政組,高風險,2026-04-01,0%
統計各地區所需結緣品,,行政組,中風險,2026-03-20,0%
便當規劃,"便當（行腳僧、工作人員、司機）；等路線確認後才能定案",食宿組,中風險,2026-04-01,0%
掛單地點,,食宿組,中風險,2026-03-20,0%
司機住宿,,食宿組,中風險,2026-03-20,0%
洗衣規劃,"惠中寺洗衣店；10-15人同一個洗衣袋；先確認引禮",食宿組,中風險,2026-03-20,0%
遊覽車,"信眾部處理，已訂8台，需提供路線",交通組,里程碑,2026-03-01,100%
佛祖車,,交通組,里程碑,2026-02-01,100%
錦旗設計,,設計組,進度正常,2026-03-27,100%
佛祖旗,"佛祖旗（橫標、宗旨旗）印刷，找旗杆中",設計組,中風險,2026-03-30,100%
海報,"臉書發文",設計組,里程碑,2026-02-01,100%
壓克力郵票組,"申請佛光紙袋；確認貴賓結緣品的數量",貴賓組,低風險,2026-03-12,30%
錦旗印製,"印刷中，等貨到；廠商：普霖印刷",總務組,低風險,2026-03-15,100%
沙彌,"等收貨（400箱），根據路線分配",總務組,中風險,2026-02-01,100%
念珠,"2400個；申請27,600個；分開男眾、女眾和兒童（比例3:6:1）",總務組,中風險,2026-03-12,0%
箭牌,"申請3萬",總務組,,,
香案結緣品,"75份",總務組,,,
六字大明咒,"需印製",總務組,中風險,2026-03-12,0%
僧袋,"等收貨（130壞色+370）；申請100個舊的；每條路線：舊的各50個，新的200個",總務組,中風險,2026-03-12,50%
帽子,"已OK；分路線（每條線各40頂）",總務組,中風險,2026-03-12,50%
雨衣,"週四抵達，常住處理",總務組,中風險,2026-02-01,0%
雨鞋,"週四抵達，常住處理",總務組,中風險,2026-03-12,0%
缽,"申請280個",總務組,中風險,2026-03-12,0%
和尚缽,"6個（每條線各3個）",總務組,低風險,2026-03-12,0%
缽袋,"與行腳服放在一起了",總務組,低風險,2026-03-12,0%
斗笠,"和尚斗笠",總務組,低風險,2026-03-12,0%
旗幟背帶,"等待匯款，20000元",總務組,進度正常,2026-03-12,0%
三壇大戒,"目標",總目標組,,2026-04-16,0%
行腳托缽,"目標",總目標組,,2026-05-03,0%
